sentence,emotion
i was reading the melee dps rant below just now and it brought to my attention the reason ive been feeling fairly dissatisfied in raids recently,anger
i have essentially at least in my mind solved these design problems i just don t fucking feel like working them out in all their iterations i just feel like i can t be bothered leave that shit to the junior designers,anger
i know it was not pleasant for her and i feel selfish saying it but i think i would have fallen apart if i had been there,anger
i was trapped in the mall and was starting to feel like a mallrat and i hated it,anger
i guess ive been feeling agitated lately,anger
i guess were annoyed agiatated and my sis feels hated darn cos i told her shes a geek i love you amy,anger
i actually feel inside which is so dangerous because apart from my shoulder i feel really amazing,anger
i feel stressed frequently,anger
im feeling slightly irritable but generally level headed and actually not in a bad mood,anger
i perform a submarine cartwheel before i feel a violent tug on my ankle as my board gets hauled towards the beach,anger
i feel like this vile thing brooding gnawing deeper in spirit,anger
i found working out of detroit specialized in christian literature lol im feeling a little grouchy tonight,anger
i feel like she was bitter towards people who were in upper class just because they were in upper class,anger
i feel like i shouldnt bother people with these petty stupid little pathetic thoughts i feel like no one really would care to know what really goes on inside my head,anger
i feel that the classroom is extremely dangerous,anger
i seem to wake up every day recently feeling immensely irritable and i cant quite work out why,anger
im just feeling rebellious,anger
i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive,anger
i feel like if people see the chinks in my armor they re going to decide that i m this fucked up person dismiss me as a hot mess and not want to be around me anymore,anger
i must have been feeling a little cranky about the,anger
im feeling particularly dangerous a chocolate cookie,anger
im supposed to be excited about my tattoo today but instead all im feeling is pissed off,anger
ive just spent the last half hour feeling ridiculously angry over insensitive comments from my partner but that all changed a few minutes ago to real pride over how much i have changed,anger
i came home one day and discovered that my sister had borrowed my car and had gotten into an accident with it my entire front bumper was destroyed,anger
im starting to not buy the whole everything happens for a reason bit or god has a plan b c i feel that god is love and theres no way that he would torture me and other women like weve been tortured dealing w fertility issues,anger
there was a cat on the street it had been run over and its head was open we passed beside it,anger
i have really come up against some intense struggles since moving in here and i have to say i am very proud at the way we are giving each other the respect to feel however we need to feel mad stressed whatever and yet we still pull together to fix the issue,anger
this happened when i could not get into the school i had initially wanted,anger
i was a bit more bouncier than usual i didnt feel as grouchy about everything as normal,anger
i feel that the students in this classroom are very hostile towards any display of intellect just like the rest of society,anger
i feel heartless now feeling bored and not believe in love anymore,anger
i was half feeling very irritated and just wanted to get out of a amp f lol,anger
i got a feeling that the hateful talk in the work place wore thin and they kept her around only for what they absolutely needed her to cover,anger
i don t know if i should be feeling this way because it would seem greedy and not nice to expect someone to splurge on the spur of the moment just because i asked,anger
i can see the shallow of many lives and if i try to give love or atention to that person then i can see the distance and the confusion looks to me that people stop trusting others and feel insulted or misstreated by affeccion,anger
i feel mad sad and discouraged there is something so marvelous about the lord jesus something about the holy word of god that ignites my soul with hope to once again keep moving forward,anger
i feel so resentful about having to take care of us and not getting to do what i want to do,anger
i acted like a little girl by acting cute towards you asking if you wanna share a diary with me amp you said youre still feeling pissed and you want me to stop adding the problems and make things hard for us,anger
i feel disgusted that any criminal justice system in the st century could know the full details of it all and deny it to be named as abusive,anger
i cant shake off my feelings of being offended and hurt no matter how hard i try and the conversation keeps consuming my every thought,anger
i feel i did some thing impolite katanya,anger
when people harrass me i feel oppressed by their behavior,anger
i feel like a stubborn year old,anger
i vividly remember feeling so offended that she would even dream such a thing could be a choice,anger
i am feeling manipulkated and wronged by my son and its as though he is lucy and i am charlie brown,anger
i feel like i had this bitchy undertone the whole convo like kinda sarcastic,anger
im not sure how i feel about him yet he seemed kind of distracted and out of it but we decided wed give him until the end of the week to prove himself to us,anger
i was feeding morla i started to feel agitated and for no reason,anger
i can get to the bottom of this feeling and not just berate myself for feeling dissatisfied,anger
i feel wronged but the judges people make at times however i also found out that actually in life we just need to be responsible to our own actions and and the people around us,anger
i feel very angry but once a simple msg made me blur really blur,anger
i like to buck the system and climb on my soapbox when i feel wronged or see others wronged but for the most part i am more comfortable with a society that accepts certain behaviors as moral truths,anger
i won t get into making excuses for the man he s a big boy and can do that for himself and his staff i walked away from red rooster feeling dissatisfied underwhelmed and confused,anger
i feel very angry and upset with my customer,anger
i really can carry a grudge for a long time against those i feel have wronged or hurt me in someway whether they are aware of it or not,anger
i think unconsciously subconsciously i feel like a vile vile being,anger
i mention that im feeling cranky,anger
i was about to feel insulted and show opportunity the finger then the door when it presented the prize two weeks in italy,anger
i was feeling frustrated and tired today,anger
i started to feel dissatisfied by the ease and convenience of it all,anger
i cant help but feel someones going to end up pissed at me,anger
i do i feel like i just make him mad or upset and he doesn t talk to me,anger
i will usually tell him that i was feeling frustrated for whatever reason and ask him to help me fix it,anger
i waited in line longer than usual i didnt feel impatient that my business was delayed i listened to the master about why this was occurring and how i could be of service during that moment,anger
i was feeling irritable and grumpy today so i came home for lunch took a nap,anger
when i saw a man hitting a child of years without any consideration,anger
i do feel offended and i think justly,anger
im feeling a bit bitchy tonight so i will be,anger
i have loved not feeling rushed here,anger
i end up getting unwanted attention from boys i want little to do with or ill be sort of starting something with a boy then find myself flirtiing with others in his presence or ill feel really insincere around boys that i do like,anger
i wasn t feeling insulted over its idiocy i felt supremely bored and actually wound up fastforwarding through a few scenes,anger
i feel as though i am living the world of opposites where a long cold winter is a sign of global warming free speech is only free as long as it is practiced in the echo chamber of political correctness and the u,anger
i feel can be even more dangerous though because when youre pouring all time into ministry it can be accompanied with self righteousness or self satisfaction,anger
i didnt expected to be that much addicted to the nicotine before ive experienced all withdrawal symptoms feeling irritable and so stressed going mad with cravings inability to concentrate dry mouth trouble sleeping i wake up every night at a,anger
im feeling queezy and cant be bothered putting these in order so here goes,anger
i feel so angry that cancer is slowly killing my dad,anger
i may notice that you feel aggravated or joyful or whatever it is that youre feeling,anger
i feel selfish for that choice i made i just beg that you dont let your love for me go away,anger
i hope to see or feel a mad glint in your eye because some madness some pathological curiosity is needed,anger
i get this sudden feeling that i am completely annoyed at him,anger
i feel the market is in a somewhat dangerous position for traders who end up on the wrong side right now,anger
i feel like a failure like i m so fucked up that i have to be medically managed,anger
i was left with my integrity and my dignity intact but feeling pissed off,anger
i feel we do have some control over our petty dissatisfactions by trying to act or think and then feel more positive about our own lives,anger
i needed a plan on how to get rid of that feeling it was totally taking over everything i am totally distracted at work with everything i m trying to do in any free time i have in the evenings the projects are taking over my life and the fact that i totally feel burnt out by it all,anger
listening to my roommate boasting about her new clothes,anger
im feeling more fucked up than ive ever had and its nothing to do with my school work,anger
i feel very irritated and annoyed today,anger
i do feel that they are greedy and money hungry absolutely,anger
i feel pride that i don t have to buy a roll of quarters from the bodega on the corner and this feeling is the only thing that keeps me from being irate that our laundry room is oddly devoid of coin changer machines,anger
i think i am starting to feel jealous,anger
i am so tired about it and i feel so fucked up,anger
i feel like a bitchy selfish idiot,anger
i feel so disgusted and ashamed of myself,anger
i do feel very angered though,anger
i feel hateful of myself for being alone,anger
i was impressed with how dunham portrayed hannahs whole experience from trying to deny that its happening to feeling offended when you feel like someone is trying to minimise the distress its causing you,anger
i know it wouldn t have solved anything but i m sure that it would have momentarily made me feel less agitated for sure,anger
i miss yall miss your comments and feedback and feel a little resentful that id had to shut it off due to a few bad apples to folks who just dont understood much as i might be baffled as well by their lives,anger
i am sure the organisation themselves have the best of intentions though i disagree with them whole heartedly its just i get the feeling that some of the demostrators will be slightly hostile to students,anger
i feel like todd is getting too stressed or tired with caleb i will take him because i dont want caleb to feel that frustration,anger
i feel greedy with my thoughts and it is a relief to let them linger,anger
i practically got the feeling of a hostile environment,anger
i aint pissed angry mad or anything i just feel pretty much fuckin insulted,anger
i get a feeling that why did i pay for getting so fucked,anger
i do how empty disappointed angry sad chaotic destructive i feel today im just mad at myself why do i always fuck up shit,anger
i remember feeling how my husband felt when i would see people being rude to my mom and mom just being her sweet self to them,anger
i kept staring at her quivering flower feeling that it was like a violent flower in time lapse photography a flower shivering with vigorous growth as it accelerated out to the flickering sun racing sky heralding the end of our relationship before it had even started,anger
i feel many petty people have judged me simply because i may be one,anger
i feel pretty tortured because i work a job and often the inspiration strikes while im at work,anger
i feel incredibly sarcastic right now,anger
i am feeling irritable cranky often,anger
i feel frustrated when i have new music and new lyrics that clearly have nothing to do with each other,anger
im thinking of locking myself in my house until i manage to get it all organized but i have a feeling i may become as cranky and isolated as this dear friend a href http,anger
i wrong or ridiculous to feel pissed,anger
i tend to stop breathing when i m feeling stressed,anger
a certain friend tried to push me off a seat in a very violent way for no apparent reason it may be that he was excited about something,anger
i feel like a rebellious year old that stands in the doorway flicking the lights off and on in the depths of my spirit,anger
i feel frustrated about especially last night is not in doing all those things i actually enjoy them but in finding the time to do them,anger
i think too much about how i sit how my voice sounds if i ve gotten any food on my mouth and the feeling that i need to make my way around to everyone so as not to be rude,anger
when a friend of mine keeps telling me morbid things that happened to his dog,anger
i forgot to take my meds this morning and i am predictably feeling irritable but less predictably i have been sitting here all day thinking ima kill a bitch if i dont get my hands on a chocolate cupcake,anger
i am feeling a little bit hostile towards my ex today,anger
i was thinking about going out to dinner but im feeling like i might not be bothered too,anger
i feel fucked tape last year make sure you get this,anger
i was a touch pissed off that janine appears to have totally forgotten my birthday i feel a sarcastic comment in her card next week to make up for it,anger
i feel like i only get mad if i think someones doing something thats really unjust,anger
i was feeling kind of rebellious and my post was a little on the,anger
i apologise in advance i m feeling somewhat angered and stressed and the following is just going to have to come out,anger
i feel so so tortured by looking at the lecture notes and nothing is going in except for my holiday plans,anger
i feel stressed he gets upset for that too,anger
i feel im being violent is i say no im not going to accept that and here are the consequences,anger
i feel i hate him like i have never ever hated anyone like that but i cant stop looking at his existing symbol,anger
i don t feel that irritated,anger
im feeling cranky cantankerous and resentful like a house slave basically almost all the mothers i know rely heavily on either alcohol marijuana or separation divorce to get some space and sanity for themselves away from their maternal responsibilities,anger
i feel rebellious today so i ll leave this as a warning to myself on how radical i can be,anger
i wonder how it feels to have angered and disappointed millions of people in one morning,anger
i am still working through the guilt of feeling selfish for self preservation without the justification that i must survive to bring up my babies,anger
i feel like im the bitter old lady who has had such a long life and just cant deal with it anymore,anger
i can go from elated laughing to plunging back into my extreme misery at a simple exchange that it feels so dangerous now,anger
i feel angry or resentful all i need do is remind myself that each day sober has been made possible by a fellowship which supports me all the way,anger
i can literally feel a hateful glare directed at me,anger
i start to feel agitated inside,anger
i sat on a windy beach feeling thoroughly annoyed i vowed id be back and i would climb scafell,anger
i went for the large double double along with a chocolate chip muffin i was feeling dangerous,anger
i am feeling rather bitter and rather defeated over a multitude of subjects but lets talk about the main one,anger
i suggested greys and blues with warm tones as the room is north facing and could feel quite cold and flat,anger
i think its the case that whether people like anne coulter or ed schultz really feel as outraged as they do their viewers most certainly do feel that kind of outrage and anger about the substance of their collective tirades,anger
when i ate a rotten apple,anger
i lets me into his fucked up world and he usually does i feel fucked up too and honestly a little scared,anger
i wonder how they would feel if someone was screaming at them and then saying horribly rude things behind their back later,anger
i feel so petty getting all worked up about all this stuff but thats not really whats made me the way i am,anger
i havent gotten them yet because i still resent paying dollars for a procedure that wasnt fully successful and since i wore glasses for years i feel ive been tortured enough,anger
im feeling a bit cranky today,anger
id be less than honest on this blog if i didnt report that im feeling very petty right now,anger
i feel extremely jealous when ranbir works with other directors ayan mukerji filmfare,anger
i feel like a vile traitor even saying such a thing but its the truth,anger
i do feel envious of those with kids at certain moments,anger
im feeling bitchy on saturday,anger
i did feel a little lighter in spirit now that i knew that neither he nor warrick despised me for my incredible naivety and stupidity,anger
i feel like a dangerous animal as i prowl out of the jungle and onto the warm sand of this deserted island,anger
i feel like there is a violent war going on in my stomach,anger
i feel hated by my parents,anger
i feel like so much of my life has been rushed through like just the means to an end and now it feels like i am enjoying everything i possibly can for what it truly is,anger
i hear such stories i feel cold,anger
id been struggling with feeling highly irritable toward my husband,anger
im feeling really bitchy so just stop reading if you dont want to hear my sob story,anger
i feel really greedy saying that,anger
i am for the first time this year feeling the cold,anger
when i failed the entrance exam of the medical school and was studying biochemistry which has no job prospects in zambia,anger
i feel i can be a bit selfish myself,anger
i just feel so irritable which i guess is a classic symptom of depression,anger
i also feel like i was being way too irritable today,anger
i was in seoul i could help but feel jealous,anger
i feel for you you guys who been insulted ill treated lathi charged at the grounds,anger
i feel bitter to see what i ve become,anger
i feel dissatisfied and no matter how selfish i am or how much about me i make saturday it s never enough,anger
i do feel irritated at times because he tried to hold me and stuff ill push away or not throw temper and shout at him,anger
i feel more and more dissatisfied with each passing weekend,anger
i is starting to feel a bit insulted by this stranger,anger
i am feeling impatient i havent been blogging because each day was pretty similar sleep eat pregnancy pains sleep etc,anger
i started explaining what my biggest problems were bottling up my feelings and then dumping all those problems onto one person and my selfish search for happiness when i had felt everyone around me had found their happiness,anger
i want to exhibit all new pieces which is kinda making things a bit more stressful but i know id feel somewhat dissatisfied about showing old work,anger
i hate seeing those red windows even more as what i feel inside resonates with the cold uncaring world i know exists behind them making me even more aware of this pain inside of me,anger
i have kept quiet when someone did or said something hurtful and not said what i was feeling because i did not want to be rude,anger
i feel petty jealousy or anger yesterday in the face of my wifes happiness and our decision to chaperone a trip with my sons school,anger
i would feel a violent stab of loneliness,anger
i feel offended if you question my results as unfair saying that i am lazy and all so why,anger
ive been feeling kind of distracted and that is obviously not conducive for working philosophy problems out,anger
i feel genuinely wronged,anger
i can t help feeling jealous,anger
i was annoyed this particular day as it seemad that the odds were not in my favour my grandfather added fuel to the fire,anger
i must find a way to accept these limitations until they are older without feeling held back or resentful,anger
i usually don t wear glasses at first i had uncomfortable feeling like irritated but lately i feel comfortable to have it,anger
i feel hated i feel like i dont belong and more and more i feel that i want to die,anger
i have found the perfect remedy for anyone feeling stressed or conflicted about the future its the a href http www,anger
i got a feeling give it up i got a feeling get away becuz i m cuz i m dangerous oh i m a badman ah,anger
i do feel resentful towards other bloggers writing for and against i don t even qualify to feel offence since delhi girls are obviously punjabi,anger
i of britain so were louis xvi and marie antoinette but i think perhaps i feel the loss of russia more because it was so violent it was the entire family and because it was so comparatively recent,anger
ill just have to make some local friends i can go to the movies with and know for a fact they wont even without meaning to cause i seriously doubt there was any actual intention to hurt my feelings or actually call me heartless a moral or brainless it just came across that way to me,anger
i feel really fucked up why do such things always happen to me,anger
i am feeling irate,anger
i feel really disgusted with myself more than the pain and agony,anger
i go to the church service not youth i feel like im hated and i know im not the only one,anger
i am standing so close to said cow her name is gabriella btw i feel rude calling her a cow,anger
i hear you loud and clear that this is an important issue for you but in the grand scheme of things i cant help but feel that this is so petty,anger
i feel offended that youre offended way but in the oh crap there i go offending people again way,anger
i was feeling grouchy and everything for the past few weeks but yesterday was such a happy day,anger
i feel the eyes of many turn away disgusted by the self indulgence the audacity of a british woman to admit this point of failure,anger
i was going to cry at one point could feel a lump in my throat but managed to stop it as i was more distracted by the thought of getting all my vows right,anger
i was down feeling greedy and depressed,anger
i feel like there are people out there on the internet that have issues with my online friends and then expect me to be hateful or mean to them as well,anger
i was feeling kind of resentful about it since its april and all,anger
i felt a little bit of cramping and the same feelings i had been feeling for weeks so was not bothered by it,anger
i try to breathe in when i feel frustrated and breathe out the calm that i desire,anger
i write this very moment i feel the cold chill of,anger
i see lovers i feel envious i want someone to be there for me,anger
i feel and some is just a hateful of hollow yes i hear many smiths these days,anger
i feel so happily rebellious,anger
i feel is hostile kinship or mounting nausea did you know that back means the binding itself,anger
i don t feel bothered about it getting credit equals getting debt and i have no interest in doing that again,anger
i tend to feel a bit cranky when i ve gone for a few days without making art,anger
im not feeling violent im feeling creative with weapons,anger
i feel like karen is being far too greedy pushy demanding on all fronts,anger
i changed i feel that im taking advantage of her this wouldnt have bothered me one bit before,anger
im also feeling cranky about it because the main characters scientist brother observing the moon mentions that there is zero gravity there,anger
i keep feeling so disgusted with myself,anger
i stop feeling so mad i ll stop behaving like this,anger
i feel irritated to have missed out direct instruction from master lee is never to be passed up casually i have to admit my body just feels like it needs the rest,anger
i woke up feeling cranky this morning,anger
i feel like you feel this is a mistake but time is fucked up sleep won t take,anger
i see those forms that i havent do yet i just feel very agitated,anger
i feel blackburn will be a stubborn team against blackpool and holloway will want a positive reaction in this game even if they don get a result,anger
a gigantic spider climbed over my face and what is more in my own flat,anger
i feel as a person and a politician i cannot allow dogs to run around on our streets that are more dangerous than others,anger
i can listen to it and feel dissatisfied,anger
i plot that makes the reader feel like he is with owen morgan during his dangerous undertaking,anger
i feel petty moaning about it but its annoying me so from now on im keeping my stuff in a bag in my room if they ask i can always say im keeping it there to stop the bathroom getting cluttered,anger
i think of what dharavi means for mumbai and the country if you keep the annual turnovers aside for a while i feel agitated,anger
i was thinking about how you all were watching general conference and i was feeling a bit jealous,anger
i hardly feel like i had a weekend if i dont get fucked up,anger
i wanted both but i feel greedy,anger
i still feel jealous of my friends when their moms talk politely with them,anger
im fine mary anne answered feeling a little impatient,anger
i would watch him and feel frustrated he didn t realize that fifteen feet away was the ocean the freaking wave crashing covering the majority of the earth ocean,anger
i know will be less welcomed by some who feel that we need to be ferocious and brave and show the wizarding community that we will continue our work to rid england of mudbloods and half breeds and whatnot,anger
im feeling irritated by her friggin name,anger
i told omangy that i was feeling violent and i wasnt in a good mood,anger
i am your friend then why do i sometime feel so insulted around you,anger
i finally fell asleep feeling angry useless and still full of anxiety,anger
i feel like i need to tattoo that peggy o mara quote onto my arm so i ll see it next time i feel disgusted disdainful or disappointed by my children s behavior,anger
i feel and im irritated by it,anger
i feel the cold mostly in my arms and torso,anger
i just feel like no one cares and no one can be bothered to make the effort and meet up,anger
i feel grouchy or short tempered then the guilt kicks in,anger
i feel you are being wronged i will back you,anger
i feel frustrated irritable even,anger
i hate even doing this because i feel like it s rude but i must say i love the blog it came from and this is no insult to the food photography because i enjoy it,anger
i don t feel like i am dissatisfied because i don t have things i think i am dissatisfied because not much is changing in me and i still feel bad at times,anger
i just feel so fucked up these days,anger
i was feeling annoyed suddenly,anger
i even get jealous when my bf speaks to his best friend who is a girl and also friend of mine but i listen and understand their friendship because my trust towards my bf is higher than me feeling jealous,anger
i have to admit that i was feeling distracted by the fact that i was blocking traffic,anger
i still feel so agitated,anger
i feel that some violent natures are generic,anger
i started to feel cold,anger
i also feel a little selfish when i get excited about hitting it off with our friends friends because it makes me feel victorious in our choices,anger
i truly feel i am irate,anger
i just feel like being selfish and really live my life,anger
i began to feel a bit irritable and antsy,anger
i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,anger
i put forward to all their social diktats make them feel i am rebellious towards their authority,anger
i feel i ve been wronged luckily i managed to control myself and not complain or talk bad about the friend either online on facebook or offline in person,anger
i was feeling pretty grumpy at this point but for whatever reason seeing this flower made me very happy,anger
i feel like a greedy person for liking two people,anger
i just couldnt shake the feeling that he is being left out somehow and i sort of hated that i had done this to him,anger
i am sitting here feeling a bit grumpy moanday blues anyone else feeling this way too,anger
i found out that someone that i knew had someone else taking tests for her,anger
i feel so resentful at the sun for chasing me into the house most of the day,anger
i feel is most dangerous is people dismissing these disconnects and not considering them trials equal to the physical hardships of the revered pioneers,anger
i am not holding in my anger but i am holding it back so that i can still choose with a clearer mind and can feel it without executing someone for something petty,anger
i do not do these things to torture you i am feeling tortured myself at the moment,anger
i feel like my dream is so selfish,anger
i have seen you fall asleep climbing back into bed before you were even horizontal and now i am awake and my neck is cramped and i am feeling hostile and cheated,anger
i feel that these children will become violent and mentally unsafe as they get older because they are constantly in a dangerous environment,anger
i look around at the people around me and i feel almost slightly envious about how they have a way of motivating themselves sitting down and studying so hard,anger
i try and try to keep up with other bloggers and read whats scheduled so that my review goes up close to when everyone elses does but im tired of feeling rushed tired of the pressure that i put upon myself,anger
i know that tenge will get me to and from almost anywhere so if i am feeling impatient i offer more,anger
i began to feel agitated because i wanted to buy ewan some food and medicine before i left,anger
i just feel like its rude,anger
i can control is me and if people feel that i wronged them i will try my best to fix it but some people you cant make happy,anger
i feel i m doing to my mom what i despised so much when it was done to me,anger
i feel like i totally fucked up,anger
i feel like a greedy little traitor i m looking looking among these covers hey little snotface take me,anger
i often feel very angry seeing these things around,anger
i even dare to say that some of the biggest stiller and or vaughn haters still could get some enjoyment out of this movie and not feel annoyed by their performances and characters,anger
i hope mine goes well again because at the moment i m unfortunately feeling a bit resentful with the aftermath of the holidays,anger
i feel like theyre being rude in the first place and as long as you arent snappy about it you have every right to ask him not to touch you,anger
i need to move past the grief and maybe even feel angry,anger
i am feeling a little stressed as aaron has friends over for a sleep over,anger
i was really upset when he went away though i can understand how he must feel and i wont be greedy and pester him about it,anger
im just feeling pissed,anger
i feel like i have been really cranky at school these days,anger
i says pressing his torso against siwons and bringing their faces close enough that he can feel siwons agitated breath,anger
i was going crazy thank god i have a craving for fruits and chocolate it made me go out in the cold with a gross wind blowing in my neck feeling mad and angry and crappy,anger
i just feel kind of heartless now,anger
i was feeling cold and wet most of the time,anger
i am feeling completely irritated right now and i have no idea why maybe because he is usually just getting home from school so the last hour of these god awful videos have imposed on my time,anger
i really shut myself off a lot at the end of my pregnancy when i was feeling even more irritable and anxious so maybe now i need to bounce back from that and get back to normal again,anger
i cant help but feel a bi jealous of their professional organization good support system and comfortable living situation,anger
ive vented and cried and now im a little more calm and feeling less hostile,anger
i almost feel hated by everyone,anger
i feel wronged by you over and over,anger
i don t really feel all that bothered by it to be honest,anger
i need to be just as open with them as i am with some of my friends when i feel that they have wronged me,anger
i still feel annoyed and the older sd is always sick with something and i mean always,anger
i feel the need to be distracted,anger
i feel like i kinda gettin lil bitchy with him but gimme a break i get my rag in a few hours,anger
i think this is a valid complaint for those who arent willing to deal with it this aspect i imagine will be rather subjective but it makes sure that the cover based moments still feel dangerous despite being in cover,anger
i feel far too distracted to actually write anything of substance,anger
i was dwelling on the current state of my life i was unsure about my place in life and what i was going to do with it and i was feeling a bit bitter at god because of it,anger
i feel irritable supersensitive,anger
i knew i had reached there after the continuous bumps that made me feel obnoxious due to the devastating condition of the roads,anger
i feel this is very dangerous,anger
i feel so petty who one of my first colleagues had not nice things to say about when i first asked for any contacts for investment banks from before i arrived at this job,anger
i this feels rebellious to me,anger
i was feeling grumpy not women problems grumpy but five year old i want to get my way kind of grumpy you don t think there s a difference,anger
i was feeling a little annoyed at some people,anger
im feeling stressed about this more than i should,anger
i was feeling all resentful that id been given such a boring assignment and,anger
i get a sort of tunnel vision heart rate increases i cant feel my arms or legs and i cant hear a thing this being the more dangerous of the side effects that have meant i cant hear the stop whistle if i have injured my opponent and thus has lead to tournament disqualifications and fines,anger
i am appalled that i feel violent toward another human being,anger
i feel like i can breath now and not be so rushed,anger
i feel a violent urge to vomit and back out of the room,anger
at school,anger
i feel a bit stressed because it feels like im supposed to do something all the time and that i should be reading now,anger
i dont think that happens a lot so i feel insanely cranky when i couldnt get an ear immediately,anger
i left the property feeling insulted and found myself minutes later on main street an unsuspecting victim of some unknown enemy s next attack,anger
i could feel my calf muscles starting to get grouchy and i had a cramp around my ribcage,anger
i feel more hostile towards sarcoidosis than usual,anger
i feel too selfish to talk about you to anyone else thyroid for i do not want them to think i am just dramatic and whiny when really it is just hard for them to understand that yes someone can look fine and still feel terrible,anger
i feel so pissed off over an old friend and some friends,anger
i just feel resentful and show my resentment by eating tempura and sundaes,anger
i feel so fucked up most of the time because not being able to concentrate on anything amp feeling anxiety all the time about everything makes me stressed apathetic amp i cant handle stress at all,anger
i feel i m getting distracted and not real,anger
i feel there are a lot of things that i need want must to do but always somehow got distracted got a call from my crol tl and just told her that couldnt join her as per going to the doc,anger
i almost feel greedy with my rd child when so many people i know are working so hard for or,anger
i feel bitter theofilou said of the lack of support to nods of agreement by kastrioti who waited for her turn to board,anger
im with you when your professor looks at you like a spitball when your friend is dying when you cry into your pillow at night when you feel the dangerous tickles of jealousy luring you down into its lair,anger
i saw them that anything was wrong they told me some excuses but i am feeling truly insulted and i am feeling desperate again,anger
i feel like i am a selfish person,anger
i was feeling grouchy and all,anger
i was years old at one time knowing my dad wasnt coming home and its the worst feeling i have ever felt and ive hated you since and it wont ever change,anger
i feel so selfish but i just want to keep my baby close for awhile and not let the rest of the world in unless i feel like it,anger
i feel that if he hadnt appeared out of nowhere and distracted me i would have noticed the light change and none of this would have happened,anger
i don t feel bitter about my lot nor do i wish any other mother s son was in my place,anger
i can feel his impatient and i can t stop my body from giving him positive response,anger
i feared i would feel resentful of her or this process but i dont and i am so happy about that,anger
i feel hateful of everything suddenly,anger
i had just eaten a particularly dreadful railway burger and so was feeling irritated before i even read his remarks hence my suggestion that he was only a so called environment secretary,anger
i went back to work feeling agitated and lazy which transformed into this state where i just yelled i dont know,anger
i feel disgusted to even be associated with this woman by my race and nationality,anger
i just feel like being sarcastic and mean and all because history paper is overrrrrrrrrrrr,anger
i feel very envious,anger
i buy books about people i feel are equally fucked up as i am or books about zen approaches to shitty situations,anger
id feel like a heartless bitch if i didnt share these with anybody,anger
i feel selfish bringing up our loneliness for a child when i know parents out in newtown are grieving their lost babies,anger
im pretty sure it had to do with the fact that im dealing with hyperemesis not enough sleep and feeling irritable,anger
ive found my interest in s u waning and ive even come away from some portrayals of their relationship feeling dissatisfied,anger
i did say she could but its just a bit annoying and it reminds me that im really unfit and that i have no determination and then i feel really poo and have even less determination so its all a bit of a vicious circle,anger
i feel hated but i don t care,anger
i was over tired and feeling irritable as a result,anger
i love the feeling of the cold nipping at my nose while im in warm clothes,anger
i feel so hated and useless sometimes i even ask myself why havent i killed myself yet,anger
i get the feeling that she is dissatisfied with life now and that she is filled with regret and bitterness as she has distanced herself from all possible means for disappointment,anger
im currently feeling way fucked up with the mother tongue paper,anger
i am drawn to totally solid neutral bags in black and brown throw in a vibrant patent red and maybe if i m feeling dangerous a metallic clutch but that s usually the most adventurous i get with my accessories,anger
